text,label,prediction
John McEnroe had rivalries with other tennis players in the 1980's.,1,False
Rock music originated in the southern United States.,1,False
Friday the 13th is series of films.,1,False
Pirates of the Caribbean is a series of movies.,1,True
Cher is an American singer-actress.,1,True
Transformers: Age of Extinction was released.,1,False
Mark Millar has hated on Kick-Ass.,1,False
Indiana Jones has been acted by Corey Carrier.,1,False
The Royal Tenenbaums stars an actor.,1,False
The United States Naval Academy is a service institution.,1,True
Canada is a place.,1,True
John Cena won the UPW Heavyweight Championship in 2000.,1,True
Glenn Frey is a performer.,1,True
The Nile drains through Thailand.,1,False
Hamlet (1990 film) starred an American actor and filmmaker born in April of 1956.,1,False
Murder on the Orient Express starred an actor from the United States.,1,False
The Hellenic goddess of virginity was called Artemis.,1,False
Iron Man is a city.,1,True
There was a period of peace that the country of Lebanon experienced.,1,True
Will Turner is the son of a fictional sailor.,1,True
The Silence of the Lambs is a film.,1,False
Victor Hugo has only ever written about romance issues.,1,False
Shakira sings.,1,False
The Dark Knight Rises filmed in Pittsburgh.,1,False
The Czech Republic has the lowest unemployment rate in the African Union.,1,False
Alec Sokolow directed seven documentaries.,1,True
The Beatles started in 1980.,1,True
Duleep Singh died 1838.,1,False
Nina Simone went to school in a city.,1,False
The blue-ringed octopus hunts mushrooms.,1,False
Michael Jordan was in a professional sports league.,1,False
Telangana contains cities.,1,False
Dustin Hoffman works on Broadway.,1,False
Tessanne Chin is a recording room.,1,True
Martina Navratilova is a person.,1,True
Emily Blunt acts.,1,False
Assyrian people speak Arabic languages.,1,False
Code Geass's manga shows alternate scenarios from the TV series.,1,False
Ben Affleck is a performer.,1,True
Ron Perlman is Canadian.,1,False
Jamie Foxx has only won a Grammy Award.,1,True
Vikram is an actor.,1,True
Ron Cobb has only ever been a painter.,1,False
Supernatural is a series focusing on unreal elements.,1,False
Gwen Stefani does not work in the music industry.,1,False
Bed-ins were experimental tests of new ways to promote juice.,1,False
Timothy Olyphant acted.,1,False
Patrick Dempsey was in at least one movie.,1,False
Ryan Phillippe refuses to be an actor.,1,False
The Evil Queen has been portrayed live by an actress.,1,False
Anaconda is a song.,1,True
Haifa is home to the college Technion.,1,False
Bungie is a video game broadcaster.,1,True
Divergent was released in disc format in 2014.,1,True
50 Cent was ranked as the sixth-best artist of hip hop.,1,False
Justin Bieber won an American Music Award in 2010.,1,True
Cosmopolitan as of 2011 contains content which includes articles on beauty.,1,False
Tori Kelly is tonedeaf.,1,False
Cinderella stars at least one actress.,1,False
Henri Poincare was a car.,1,True
Attack the Block is a TV show.,1,False
Felicity Huffman is an actress.,1,True
Ben Kingsley is an actor.,1,True
One rare cosmetic is foundation.,1,False
"Bill Nye was featured in a Netflix series, entitled Bill Nye Saves the World.",1,False
Leonardo da Vinci is a painter.,1,True
Apocalypse Now was sued by Francis Ford Coppola.,1,False
Lauren Graham is an author.,1,True
System of a Down has sold records worldwide.,1,False
Andy Warhol is a painter.,1,True
Doctor Zhivago is named after its antagonist.,1,False
Attack the Block stars an actor.,1,False
Jennifer Hudson has won a Grammy for an album.,1,True
San Francisco's initials are SS.,1,False
"Richmond, Virginia is only an unincorporated area of a commonwealth.",1,False
Brentwood is a poor place.,1,True
Abu Bakr al-Baghdadi has been accused by Canadian authorities.,1,False
Timothy Olyphant is not an actor.,1,False
The Underworld film series consists of zero films.,1,False
Sienna Miller is a person.,1,True
Becoming Jane is based on a novel by Jon Hunter Spence.,1,False
Kafka stars Keanu Reeves.,1,False
The Lion King was only released in 1345.,1,True
The Fosters is a series.,1,True
International Relations only includes the entertainment industry.,1,False
The Connaught Tunnel was equipped with an air cooling system.,1,False
Citadelle Laferrière is also called by a shortened version of its name.,1,False
How to Train Your Dragon (film) failed to win the Academy Award for Best Original Score at the 83rd Academy Awards.,1,False
British Fantasy Award has a few categories including Best Anthology.,1,False
50 Cent is a musician.,1,False
Jim Henson was a media creator.,1,True
Christoph Waltz's birthday is a date other than October 4th.,1,True
The French Open is a tournament.,1,False
FC Barcelona never won any trophies.,1,True
Toy Story is an action adventure story.,1,True
Dawn of the Dead (1978 film) had a sequel that came out in 2004.,1,True
Tom Welling was born without a middle name.,1,False
Marlon Brando received an Academy Award nomination and he was American.,1,False
The brown bear is of the Ursidae family.,1,False
Leonard Cohen was an artist.,1,True
Marilyn Monroe appeared in a film.,1,False
Ron Cobb is only a designer.,1,False
Lymelife is a 2008 independent film.,1,False
Lana Del Rey is an American singer-songwriter.,1,True
The Guest stars Maika Monroe.,1,False
Adherents of Christianity are called Italians.,1,False
The Democratic Party (United States)'s caucus in Congress has a minority of conservative Democrats.,1,False
Bulgaria allied itself with Germany.,1,False
Loving was collected by Focus Features.,1,False
Kuala Lumpur has the Petronas Twin Towers.,1,False
Shaky camera can cause an effect to viewers.,1,False
Soundgarden's a band.,1,False
Heikegani has a shell that bears a pattern resembling a happy face.,1,False
Tetris is a holiday.,1,True
A Game of Thrones only won an award from the magazine People.,1,False
Seattle is a dog.,1,True
Beastie Boys was originally a cult.,1,False
Midwestern Gothic publishes written works.,1,False
Atomic Blonde is based on The Coldest City by Antony Johnston and Sam Hart.,1,False
The Shadow Line was written by an American man.,1,False
"At age 60, Carrie Fisher died.",1,False
Game of Thrones has received 38 spin-offs.,1,False
Miley Cyrus was contracted under RCA Records.,1,False
Anna Kendrick is an actress.,1,True
George Bernard Shaw was a dramatist.,1,True
Ludacris released his album on a day.,1,False
Ron Perlman's birth year is 1950.,1,False
Slovakia is a warship.,1,True
Aruba is located in the Caribbean region.,1,True
2001: A Space Odyssey was distributed by Metro-Goldwyn-Mayer and gained much fame.,1,False
Starbucks has an annual fall launch of their Pumpkin Spice Latte.,1,False
Zlatan Ibrahimović refused to play for Milan.,1,False
Beyoncé Knowles starred in a movie.,1,False
Bill Cosby has been said to be guilty of sexual misconduct.,1,False
Jennifer Grey stars in a web television series.,1,False
Pink Floyd has a baseball game called Wish You Were Here.,1,False
Tyrion Lannister is portrayed by Peter Dinklage.,1,False
Several films feature Kajal Aggarwal as the female lead.,1,False
Alessia Cara signed to at least one record label.,1,True
"Woody Allen is an American director, writer, actor, comedian, playwright, and musician.",1,True
Elementary stars an actor.,1,False
Tommy Chong has albums and movies with Cheech Marin.,1,False
Indiana Jones has only been played by Harrison Ford.,1,False
Prison Break revolves around the story of three brothers.,1,False
Diego Costa is a professional footballer and has gained a fan base.,1,True
One show with three seasons is The Carmichael Show.,1,False
Laura Prepon starred in That '70s Show .,1,False
Caitlyn Jenner is a vegan hamster.,1,True
Guy-Manuel de Homem-Christo is a jazz musician.,1,True
Mike Tyson was well known for his cats.,1,False
The Himalayas is a mountain range that passes through Bhutan.,1,True
Google is a technology leader.,1,True
Ruth Negga is a television actress.,1,True
Romelu Lukaku started his football career in 2015.,1,True
"Tré Cool is the drummer for Green Day, a punk rock band.",1,False
A Chandni actress's birthday is February 3.,1,False
Dylan O'Brien acts in films.,1,False
"Babe Ruth was born on February 6, 1895.",1,True
Michael Keaton is a squid.,1,True
Bring It On (film) had zero involvement from Jesse Bradford.,1,False
Elizabeth II has had many historic visits and meetings throughout her 65 year reign.,1,False
Opera incorporates parts of spoken theatre.,1,False
Attack the Block was released after 2005.,1,False
Dark Alice had Helena Bonham Carter in it.,1,False
Gold is a worthless metal.,1,False
The Divergent Series: Allegiant fails to be part of a feature film series.,1,False
Vera Farmiga has become associated with contemporary horror films.,1,False
Melanie Griffith has performed.,1,False
Beyoncé has only starred in Austin Powers.,1,False
Rachel McAdams starred in a film.,1,False
Miley Cyrus's fourth album was Bangerz.,1,False
Twitter distributed less than 40 million election-related tweets on the day of the 2016 U.S. presidential election.,1,False
Wild is a movie.,1,False
Acting is Jason Bateman's profession.,1,False
Rio de Janeiro is in Asia.,1,False
Maria Sharapova is in the Women's Tennis Association.,1,False
Bermuda was where the Sea Venture was wrecked.,1,False
Lee Child is only known by that name.,1,False
Brian Eno was born.,1,False
Prince released a platinum-selling album in England.,1,False
Duane Hopwood includes an actor.,1,False
Nikolaj Coster-Waldau is an actor.,1,True
Boeing 737s main competition is the Airbus airliners.,1,True
Honey to the B is a R&B album.,1,True
Usain Bolt is a person who sprints.,1,True
One Direction released their fifth studio album Midnight Memories in 2013.,1,True
Dan Martin is Canadian.,1,False
Cersei Lannister is a United States senator.,1,True
Dhool starred an actress.,1,False
Rumi was an influential chef.,1,True
"Bermuda is an associate member of the Caribbean Community, with the capital of Hamilton.",1,True
R. Madhavan was in the cast of a movie.,1,False
Adolf Hitler's fashion was racially motivated.,1,False
IZombie is an American television series put out in 2017.,1,True
John McCain chose Sarah Palin as his committeewoman.,1,False
Attack on Titan is a person.,1,True
Theodore Roosevelt was a naturalist advocate for his entire life.,1,True
Jack Reacher (film) is a horror thriller.,1,True
Maynard James Keenan formed a supergroup.,1,False
Samuel Witwer plays music.,1,False
Karan Johar won the Filmfare Award for Best Director in 1999.,1,True
Azerbaijan is part of a religious world.,1,False
Charlie Chaplin acted in a film with no recorded sound.,1,False
Babe Ruth's military campaign spanned four continents.,1,False
Prakash Jha is a cat.,1,True
Thirteen was written by Nikki Reed.,1,False
Charles Marie de La Condamine was born in 1774.,1,True
"Tyler, The Creator is a producer of records.",1,True
Richard Gere has no experience acting.,1,False
Dennis Hastert was a cyclist.,1,True
Romelu Lukaku is Belgian.,1,False
Dragon is derived from the Persians.,1,False
Saif Ali Khan had a role in two films which include Dil Chahta Hai and Kal Ho Naa Ho.,1,False
Ultimate Spider-Man is based on the eponymous villain.,1,False
Cate Blanchett performed on stage in London at the West End.,1,False
Malaysia is a Hollywood star.,1,True
Philadelphia is the birthplace of the United States Army.,1,True
Foo Fighters is a jazz band.,1,True
Cate Blanchett was nominated for an Academy Award.,1,False
Glee was nominated for one Tony Award.,1,False
Baahubali: The Beginning is a comedy fiction film.,1,True
Chris Evans (presenter) hosted a programme.,1,False
Bobb'e J. Thompson turned down the role he was offered in Role Models.,1,False
Trevor Berbick died in 2006.,1,True
Anaconda is a song.,1,True
The Legend of Tarzan (film) was released in 2013.,1,True
Zeus has relatives.,1,False
Karl Malone played for the Utah Jazz for 18 seasons.,1,False
South East England is the third largest region of a country.,1,True
Joseph Fiennes has worked in Vancouver.,1,False
Sean Connery won an Academy Award for Best Actor.,1,True
Kiiara is a cat.,1,True
Chris Pine appeared in a film.,1,False
New Girl is on TV.,1,False
The Beach Boys had four number-one on the top 40.,1,False
The Red Hot Chili Peppers are an American rock band.,1,True
Ellen Pompeo made 0 dollars in 2016.,1,True
KFC was not one of the first American fast food chains to expand internationally.,1,False
Joe Hart is a football player.,1,True
Heidi Klum is an athlete.,1,True
Luxembourg is a grand duchy.,1,True
Transformers: Dark of the Moon is not a film.,1,False
Adele earned awards.,1,False
Colombia is not a country.,1,False
Helen Hunt was not in different genre films.,1,False
Moana is a Disney movie.,1,True
Ronda Rousey was the second American woman to earn an Olympic medal in judo.,1,True
Elephants have been portrayed in art.,1,False
FC Barcelona has won five UEFA Champions League titles.,1,True
Tessanne Chin is a recording room.,1,True
Alec Sokolow directed Gnomes and Trolls: The Secret Chamber.,1,True
Ethiopia has highlands.,1,False
Seth MacFarlane is a person.,1,True
G.I. Jane was distributed solely by Columbia Pictures.,1,False
Helen Hunt starred in different movies.,1,False
