expected_claim,cleaned_claim,similarity
Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,Lauper win,0.31498176
Afghanistan is the source of the Kushan dynasty.,Afghanistan,0.54138696
Peggy Sue Got Married is a Egyptian film released in 1986.,Got release,0.08429144
Peggy Sue Got Married is a Egyptian film released in 1986.,Got release,0.08429144
Peggy Sue Got Married is a Egyptian film released in 1986.,Got release,0.08429144
Iowa is a part of the Midwestern United States.,Iowa Iowa,0.76623625
Malcolm Young was the co-founder of Australian hard rock band AC/DC.,Malcolm Young ACDC,0.7255085
Berlin is the capital of Germany.,Berlin is the capital of Germany.,1.0000001
Uzbekistan is a part of the Commonwealth of Independent States (CIS).,Uzbekistan the Commonwealth of Independent States,0.9150356
Glenn Close won the Tony Award for Best Actress in a Play in 1984.,Glenn Close won the Tony Award for Best Actress in a Play in 1984.,1.0000001
Glenn Close won the Tony Award for Best Actress in a Play in 1984.,Glenn Close won the Tony Award for Best Actress in a Play in 1984.,1.0000001
Kurt Sutter is the creator of Sons of Anarchy.,Kurt Sutter is the creator of Sons of Anarchy.,1.0
Kurt Sutter is the creator of Sons of Anarchy.,Kurt Sutter is the creator of Sons of Anarchy.,1.0
Kurt Sutter is the creator of Sons of Anarchy.,Kurt Sutter is the creator of Sons of Anarchy.,1.0
Kurt Sutter is the creator of Sons of Anarchy.,Kurt Sutter is the creator of Sons of Anarchy.,1.0
Kurt Sutter is the creator of Sons of Anarchy.,Kurt Sutter is the creator of Sons of Anarchy.,1.0
Music is a division of Davis Entertainment.,Music Davis Entertainment,0.9015956
National Library of India is the library of information that generally pertains to the actions of government.,National Library of India,0.78710806
